id_cliente,nombre,edad,ciudad,ingresos,city_normal
1,Aloysia Screase,44,Mar del Plata,42294.68,Mar del Plata
2,Kristina Scaplehorn,25,Posadas,24735.04,Posadas
3,Filip Castagne,50,Resistencia,35744.85,Resistencia
4,Liuka Luard,39,Bahía Blanca,27647.96,Bahia Blanca
5,Dore Cockshtt,28,Rosario,28245.65,Rosario
6,Patrick Earle,34,San Miguel de Tucumán,62763.31,San Miguel de Tucuman
7,Etan Deeth,35,Resistencia,37489.71,Resistencia
8,Booth Bielfelt,40,Córdoba,35255.94,Cordoba
9,Shirl Labone,29,Rosario,27592.08,Rosario
10,Andy Mendenhall,52,Rosario,37153.94,Rosario
11,Hans Strong,69,Resistencia,35596.27,Resistencia
12,Griffith Lowey,27,Corrientes,41862.78,Corrientes
13,Hadria Hinkensen,33,San Miguel de Tucumán,56171.38,San Miguel de Tucuman
14,Ilyssa Arden,52,Resistencia,14690.68,Resistencia
15,Denni Dhillon,27,Resistencia,42168.75,Resistencia
16,Garrott Bogart,32,Rosario,16480.55,Rosario
17,Minor Josephy,28,Santa Fe,47018.78,Santa Fe
18,Marylynne Piner,47,Rosario,32826.37,Rosario
19,Cari Marzellano,38,Mar del Plata,53114.05,Mar del Plata
20,Magdalene Pegg,34,Córdoba,49849.42,Cordoba
21,Lorry Santori,47,Corrientes,42000.81,Corrientes
22,Gertrude La Wille,44,Merlo,9085.92,Merlo
23,Audrye Fairbeard,40,Santa Fe,46734.23,Santa Fe
24,Merle Musslewhite,33,Salta,39770.63,Salta
25,Lola Hansie,44,Santa Fe,25917.58,Santa Fe
26,Darelle Errett,47,Salta,27928.46,Salta
27,Marianna Lossman,36,Córdoba,36720.12,Cordoba
28,Charmaine Vanin,37,Santa Fe,33220.06,Santa Fe
29,Paul Perrott,34,Mar del Plata,41813.93,Mar del Plata
30,Tedi O'Shiel,32,Bahía Blanca,44137.9,Bahia Blanca
31,Merv Brislan,35,Mar del Plata,21063.82,Mar del Plata
32,Winnifred Edland,35,San Miguel de Tucumán,54193.68,San Miguel de Tucuman
33,Bevin Keenor,28,Resistencia,33986.78,Resistencia
34,Tomaso Murname,35,Mar del Plata,28615.26,Mar del Plata
35,Carmelia Bunn,52,Rosario,27136.93,Rosario
36,Karie Premble,44,Posadas,52128.76,Posadas
37,Maurice Pelling,26,Corrientes,25838.89,Corrientes
38,Clotilda Abilowitz,57,Posadas,42757.46,Posadas
39,Ginger Askaw,36,Salta,36779.95,Salta
40,Sallie Stubbe,37,Bahía Blanca,28333.21,Bahia Blanca
41,Viki Sottell,31,Mar del Plata,43388.14,Mar del Plata
42,Frazer Wooding,30,Bahía Blanca,39243.17,Bahia Blanca
43,Beverie Vassman,41,Salta,30237.01,Salta
44,Yettie Fritchley,37,Merlo,29665.37,Merlo
45,Eloise McPaik,36,San Miguel de Tucumán,20234.81,San Miguel de Tucuman
46,Gray Brede,30,Buenos Aires,20880.07,Buenos Aires
47,Mirella Dryburgh,27,Córdoba,29914.53,Cordoba
48,Herrick Wagen,20,Corrientes,25017.77,Corrientes
49,Dyanna Jimpson,51,Corrientes,39132.63,Corrientes
50,Sephira Risen,48,Santa Fe,31056.32,Santa Fe
51,Chaunce Squirrel,43,Posadas,39896.32,Posadas
52,Carly Tootell,37,Buenos Aires,7901.16,Buenos Aires
53,Brigid Mainds,26,Córdoba,45641.94,Cordoba
54,Marnie Patrick,38,Merlo,37690.42,Merlo
55,Dante Rusk,29,San Miguel de Tucumán,19065.49,San Miguel de Tucuman
56,Myrna Branchett,35,San Miguel de Tucumán,3603.65,San Miguel de Tucuman
57,Carey Moppett,48,Bahía Blanca,61296.09,Bahia Blanca
58,Phillipp Litster,45,Posadas,30978.96,Posadas
59,Linea Colbridge,45,Corrientes,30800.4,Corrientes
60,Andromache Bauer,59,Resistencia,60027.71,Resistencia
61,Domenico Chamberlain,29,Córdoba,33894.6,Cordoba
62,Renee Cahani,34,Santa Fe,49215.7,Santa Fe
63,Kimberli Stiddard,29,Corrientes,51773.22,Corrientes
64,Alison Ianizzi,54,Salta,37077.23,Salta
65,Greer Goldster,34,Salta,46549.39,Salta
66,Mohandas Pickworth,34,Mar del Plata,27487.51,Mar del Plata
67,Humphrey Nertney,25,Santa Fe,33401.67,Santa Fe
68,Agustin Bofield,30,Santa Fe,57501.45,Santa Fe
69,Georgia Jeannot,48,Posadas,27271.1,Posadas
70,Beth Igo,35,Rosario,46525.97,Rosario
71,Aindrea Winter,50,Córdoba,31514.23,Cordoba
72,Callie Curner,37,Córdoba,35486.9,Cordoba
73,Clayborne Lipgens,33,Posadas,53758.89,Posadas
74,Hadrian Sugg,24,Corrientes,22895.21,Corrientes
75,Kassandra Oland,55,Merlo,19996.54,Merlo
76,Fionnula Antoniutti,32,Corrientes,8756.53,Corrientes
77,Silvanus Keer,23,Merlo,34822.1,Merlo
78,Haley Ewbanks,38,Salta,35205.04,Salta
79,Drusi Seven,32,Corrientes,37982.47,Corrientes
80,Cortney Stetson,43,Buenos Aires,50757.4,Buenos Aires
81,Kendall Androsik,45,Rosario,43948.65,Rosario
82,Muffin Stather,30,Rosario,46088.54,Rosario
83,Mindy Bootes,26,Rosario,19009.84,Rosario
84,Eloisa Hawick,36,Santa Fe,36720.12,Santa Fe
85,Welby Zealander,34,Corrientes,29249.16,Corrientes
86,Puff Caig,34,Posadas,36166.55,Posadas
87,Jaquith De Goey,30,San Miguel de Tucumán,25454.48,San Miguel de Tucuman
88,Lorrie Charles,32,Salta,34918.69,Salta
89,Liana Goldstone,40,Corrientes,45912.27,Corrientes
90,Obed Cosham,37,Rosario,50428.21,Rosario
91,Reynold Aspray,38,Merlo,170.29,Merlo
92,Sybyl Frise,45,Buenos Aires,45332.69,Buenos Aires
93,Crystie Demschke,45,Buenos Aires,26609.66,Buenos Aires
94,Jessalyn Dennistoun,37,Córdoba,27997.26,Cordoba
95,Laney Glewe,36,Posadas,56357.47,Posadas
96,El Garbett,27,Mar del Plata,30800.52,Mar del Plata
97,Ag Ifill,40,Resistencia,45503.54,Resistencia
98,Maje Stummeyer,41,Resistencia,53904.28,Resistencia
99,Belicia Ridewood,35,Santa Fe,21186.8,Santa Fe
100,Robinetta Erik,23,Posadas,22560.67,Posadas
101,Lawry Whillock,29,Merlo,40299.38,Merlo
102,Kathi Privost,42,Salta,46129.47,Salta
103,Hanson Lum,33,San Miguel de Tucumán,40501.49,San Miguel de Tucuman
104,Adolphus Morton,24,Posadas,31111.35,Posadas
105,Quent Amps,25,Merlo,36251.4,Merlo
